,0
IS_pds_l10_ndw_SOS_adj,0.22513996822824733
IS_pds_l10_stdev,0.11736301491007808
DOW_num,0.09815810486215161
AWL,0.04425792446395131
FITB,0.03829828371364997
Freshness_Factor,0.03795281890012102
IS2_npds_prior_solves_ct,0.03493056222348424
IS2_pds_prior_solves_ct,0.034423319728697874
IS_per_constr_avg_past_diff_from_RPB,0.03309668907618108
Comp_Hr,0.0326233412626759
Open_Squares,0.03077905339385204
IS_per_sdp_avg_past_diff_from_RPB,0.026679428948349376
Blocks,0.02416478653681641
IS2_solves_l7,0.02290351182998457
Day_Freshness%,0.022897565556115773
Overall_Freshness%,0.022526127676212766
Scrabble_Illegal,0.021291713702432786
Scrabble_Score,0.020540340448348328
Scrabble_Avg,0.019750025902402872
Unique_Answers,0.018864498423056687
Words,0.013060264267319942
Wordplay,0.012377462355884026
Cross_Ref_Clues,0.010884681488510493
Cheater_Squares,0.008758057005287652
Solve_day_phase,0.005943938665997914
Unused_Letters,0.005747062737157653
Rebus_Count,0.004836033139013419
Duplicate_Clues,0.004813186073411736
Rebus_Unique,0.0023697882737254146
Circle_Count,0.0015267259369565456
Stacks,0.0011260345169953716
Unusual_Sym,0.0009176471584630043
Black_Square_Fill,0.0005107544997509973
Shade_Count,0.00048728409471591625
